State,Site,Rating,Date,Year,Season,Obs,Rep,Treatment,Fungicide,Foci,meanLW,meanST,meanSM,meanRH,meanAT,meanRF,maxLW,maxST,maxSM,maxRH,maxAT,maxRF,minST,minSM,minRH,minAT
OK,STILL,1,42408,2008,Spring,101,1,PREV,1,2,3.06,18.89,31.35,71.20,21.27,0.04,8.02,22.38,33.60,92.54,28.20,0.52,16.36,28.70,42.74,15.38
OK,STILL,1,42408,2008,Spring,102,1,CUR,1,0,3.06,18.89,31.35,71.20,21.27,0.04,8.02,22.38,33.60,92.54,28.20,0.52,16.36,28.70,42.74,15.38
OK,STILL,1,42408,2008,Spring,103,1,CHECK,0,0,3.06,18.89,31.35,71.20,21.27,0.04,8.02,22.38,33.60,92.54,28.20,0.52,16.36,28.70,42.74,15.38
OK,STILL,1,42408,2008,Spring,201,2,CUR,1,0,3.06,18.89,31.35,71.20,21.27,0.04,8.02,22.38,33.60,92.54,28.20,0.52,16.36,28.70,42.74,15.38
OK,STILL,1,42408,2008,Spring,202,2,PREV,1,0,3.06,18.89,31.35,71.20,21.27,0.04,8.02,22.38,33.60,92.54,28.20,0.52,16.36,28.70,42.74,15.38
OK,STILL,1,42408,2008,Spring,203,2,CHECK,0,9,3.06,18.89,31.35,71.20,21.27,0.04,8.02,22.38,33.60,92.54,28.20,0.52,16.36,28.70,42.74,15.38
OK,STILL,1,42408,2008,Spring,301,3,CHECK,0,0,3.06,18.89,31.35,71.20,21.27,0.04,8.02,22.38,33.60,92.54,28.20,0.52,16.36,28.70,42.74,15.38
OK,STILL,1,42408,2008,Spring,302,3,CUR,1,0,3.06,18.89,31.35,71.20,21.27,0.04,8.02,22.38,33.60,92.54,28.20,0.52,16.36,28.70,42.74,15.38
OK,STILL,1,42408,2008,Spring,303,3,PREV,1,0,3.06,18.89,31.35,71.20,21.27,0.04,8.02,22.38,33.60,92.54,28.20,0.52,16.36,28.70,42.74,15.38
OK,STILL,1,42408,2008,Spring,401,4,PREV,1,0,3.06,18.89,31.35,71.20,21.27,0.04,8.02,22.38,33.60,92.54,28.20,0.52,16.36,28.70,42.74,15.38
OK,STILL,1,42408,2008,Spring,402,4,CUR,1,0,3.06,18.89,31.35,71.20,21.27,0.04,8.02,22.38,33.60,92.54,28.20,0.52,16.36,28.70,42.74,15.38
OK,STILL,1,42408,2008,Spring,403,4,CHECK,0,0,3.06,18.89,31.35,71.20,21.27,0.04,8.02,22.38,33.60,92.54,28.20,0.52,16.36,28.70,42.74,15.38
